total_confirmed,population,urban_population,population_density,human_development_index,gdp_per_capita,date,life_expectancy,comorbidity_mortality_rate,physicians,school_closing,cancel_public_events,restrictions_on_gatherings,stay_at_home_requirements,mobility_retail_and_recreation,mobility_parks,mobility_transit_stations
15,328239523,270663028,35.7136220923495,0.924,65281,2020-02-15,78.5390243902439,14.6,2.612,0,0,0,0,6,15,3
15,328239523,270663028,35.7136220923495,0.924,65281,2020-02-16,78.5390243902439,14.6,2.612,0,0,0,0,7,16,2
15,328239523,270663028,35.7136220923495,0.924,65281,2020-02-17,78.5390243902439,14.6,2.612,0,0,0,0,6,28,-9
15,328239523,270663028,35.7136220923495,0.924,65281,2020-02-18,78.5390243902439,14.6,2.612,0,0,0,0,0,6,1
15,328239523,270663028,35.7136220923495,0.924,65281,2020-02-19,78.5390243902439,14.6,2.612,0,0,0,0,2,8,1
16,328239523,270663028,35.7136220923495,0.924,65281,2020-02-20,78.5390243902439,14.6,2.612,0,0,0,0,1,4,0
35,328239523,270663028,35.7136220923495,0.924,65281,2020-02-21,78.5390243902439,14.6,2.612,0,0,0,0,2,4,1
35,328239523,270663028,35.7136220923495,0.924,65281,2020-02-22,78.5390243902439,14.6,2.612,0,0,0,0,7,23,5
35,328239523,270663028,35.7136220923495,0.924,65281,2020-02-23,78.5390243902439,14.6,2.612,0,0,0,0,7,23,5
53,328239523,270663028,35.7136220923495,0.924,65281,2020-02-24,78.5390243902439,14.6,2.612,0,0,0,0,2,9,1
53,328239523,270663028,35.7136220923495,0.924,65281,2020-02-25,78.5390243902439,14.6,2.612,0,0,0,0,4,9,2
59,328239523,270663028,35.7136220923495,0.924,65281,2020-02-26,78.5390243902439,14.6,2.612,0,0,0,0,7,5,3
60,328239523,270663028,35.7136220923495,0.924,65281,2020-02-27,78.5390243902439,14.6,2.612,0,0,0,0,8,12,4
66,328239523,270663028,35.7136220923495,0.924,65281,2020-02-28,78.5390243902439,14.6,2.612,0,0,0,0,8,10,5
69,328239523,270663028,35.7136220923495,0.924,65281,2020-02-29,78.5390243902439,14.6,2.612,0,0,0,0,12,21,7
89,328239523,270663028,35.7136220923495,0.924,65281,2020-03-01,78.5390243902439,14.6,2.612,0,1,0,0,13,18,7
